urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
http://www.kijkshop.nl/product/171527/andersson-stofzuiger-vcb2-1/,ANDERSSON Stofzuiger VCB2.1,ANDERSSON,49.99,37%,Huishouden,,,,,,,
http://www.kijkshop.nl/product/159066/andersson-keukenmachine-knm-1-0/,ANDERSSON Keukenmachine KNM 1.0,ANDERSSON,79.99,20%,Keuken,,,,,,,
http://www.kijkshop.nl/product/170142/andersson-handmixer-hds1-0/,ANDERSSON Handmixer HDS1.0,ANDERSSON,24.99,16%,Keuken,,,,,,,
http://www.kijkshop.nl/product/170139/andersson-staafmixer-hdb1-0-zwart/,ANDERSSON Staafmixer HDB1.0 ZWART,ANDERSSON,9.99,33%,Keuken,,,,,,,
http://www.kijkshop.nl/product/170149/andersson-blender-blr-2-2-zwart/,ANDERSSON Blender BLR 2.2 ZWART,ANDERSSON,29.99,33%,Keuken,,,,,,,
http://www.kijkshop.nl/product/159061/andersson-waterkoker-wrk-2-3/,,,,,,,,,,,,
http://www.kijkshop.nl/product/171524/andersson-waterkoker-wrk3-0/,ANDERSSON Waterkoker WRK3.0,ANDERSSON,19.99,33%,Keuken,,,,,,,
http://www.kijkshop.nl/product/159060/andersson-waterkoker-wrk-2-4/,,,,,,,,,,,,
http://www.kijkshop.nl/product/171525/andersson-waterkoker-wrk3-1/,ANDERSSON Waterkoker WRK3.1,ANDERSSON,39.99,20%,Keuken,,,,,,,
http://www.kijkshop.nl/product/171532/andersson-stofzuiger-vmc3-5/,ANDERSSON Stofzuiger VMC3.5,ANDERSSON,89.99,35%,Huishouden,,,,,,,
http://www.kijkshop.nl/product/171528/andersson-stofzuiger-vmc2-3/,ANDERSSON Stofzuiger VMC2.3,ANDERSSON,59.99,14%,Huishouden,,,,,,,
http://www.kijkshop.nl/product/171530/andersson-stofzuiger-vcb3-3/,ANDERSSON Stofzuiger VCB3.3,ANDERSSON,74.99,16%,Huishouden,,,,,,,
http://www.kijkshop.nl/product/171223/andersson-ultra-hd-tv-l55512uhd-pvr/,,,,,,,,,,,,
http://www.kijkshop.nl/product/171222/andersson-full-hd-tv-l55511fhd-pvr/,ANDERSSON Full HD TV L55511FHD PVR,ANDERSSON,539.00,,Beeld en Geluid,,,,,,,
http://www.kijkshop.nl/product/171218/andersson-hd-tv-led24511hd/,ANDERSSON HD TV  LED24511HD,ANDERSSON,199.00,,Beeld en Geluid,,,,,,,
http://www.kijkshop.nl/producten/297-1160/verlichting,,,,,Verlichting,,,,,,,
