urls,title,brand,price,price_old,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.trekpleister.nl/a/320/biodermal-zon-50-korting?sort=score,biodermal  Zonnebrand & Aftersun ,biodermal ,,,,Lichaamsverzorging ,Zonnebrand & Aftersun ,,,,,,biodermal zon 50% korting 
https://www.trekpleister.nl/search?text=3033794+or+3033766,sanex  Bad & Douche ,sanex ,3.85,,54%,Lichaamsverzorging ,Bad & Douche ,,,,,,
https://www.trekpleister.nl/?linkid=20170715,,,,,,,,,,,,,
https://www.trekpleister.nl/a/321/robijn-klein-krachtig-2-voor-6.00?sort=scorehttps://www.trekpleister.nl/a/321,robijn  Wasmiddel ,robijn ,,,,Wassen en Schoonmaken ,Wasmiddel ,,,,,,robijn klein & krachtig 2 voor 6.00 
https://www.trekpleister.nl/a/322/max-factor-make-up-voor-10.00?sort=score,max factor  Lippenstift ,max factor ,,,,Make-up ,"Lippenstift , Foundation & Concealer , Mascara , Oogschaduw , Lipgloss , Oogpotlood & Wenkbrauw , Poeder , Eyeliner , Blush ",,,,,,max factor make-up voor 10.00 
https://www.trekpleister.nl/a/323/nyc-make-up-2-voor-6.00?sort=score,"nyc  Nagellak, Kunstwimpers & Kunstnagels ",nyc ,,,,Make-up ,"Nagellak, Kunstwimpers & Kunstnagels , Lippenstift , Foundation & Concealer , Oogpotlood & Wenkbrauw , Oogschaduw , Mascara , Poeder , Eyeliner , Blush , Lipgloss , Make-up Accessoires ",,,,,,nyc make-up 2 voor 6.00 
https://www.trekpleister.nl/?linkid=20170724,,,,,,,,,,,,,
https://www.trekpleister.nl/?linkid=20170725,,,,,,,,,,,,,
https://www.trekpleister.nl/nina-ricci-l-air-du-temps-eau-de-toilette/p/17781?,Nina Ricci L'Air Du Temps Eau de Toilette30ml,,17.00,,45%,Geuren en Geschenksets,Damesgeuren,,,,,,
